	title	year	rating
227	The Best Years of Our Lives(1946)	1946	8.0
228	Dersu Uzala(1975)	1975	8.0
229	Rebecca(1940)	1940	8.0
230	My Father and My Son(2005)	2005	8.0
231	Cool Hand Luke(1967)	1967	8.0
232	The Grapes of Wrath(1940)	1940	8.0
233	The Battle of Algiers(1966)	1966	8.0
234	Pirates of the Caribbean: The Curse of the Black Pearl(2003)	2003	8.0
235	To Be or Not to Be(1942)	1942	8.0
236	Amores perros(2000)	2000	8.0
237	The Sound of Music(1965)	1965	8.0
238	Life of Brian(1979)	1979	8.0
239	The 400 Blows(1959)	1959	8.0
240	Persona(1966)	1966	8.0
241	It Happened One Night(1934)	1934	8.0
242	La Haine(1995)	1995	8.0
243	Aladdin(1992)	1992	8.0
244	Dune(2021)	2021	8.0
245	Beauty and the Beast(1991)	1991	8.0
246	Gandhi(1982)	1982	8.0
247	The Help(2011)	2011	8.0
248	The Handmaiden(2016)	2016	8.0
249	Dances with Wolves(1990)	1990	8.0
